DATA,1_2_DE_ONDE_NOS_VISITA,ESTADO_ORIGEM,1_3_COM_QUEM_VEIO,1_4_NATURAL_DE,1_5_QUANTOS_DIAS_FICARA_EM_JOAO_PESSOA,1_6_VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,1_7_SENTIU_FALTA_DE_ALGUM_PRODUTO,1_8_DO_QUE_MAIS_GOSTOU,1_9_QUANTO_COMPROU_DE_ARTESANATO_NESSA_VIAGEM,1_10_COMPROU_PRINCIPALMENTE,1_11_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,1_12_DESTINO_DA_COMPRA,1_13_PRINCIPAL_MOTIVACAO_DA_COMPRA,1_14_VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,1_15_QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,1_16_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,1_17__O_QUE_MAIS_ADMIRA_NO_ARTESANATO_PARAIBANO
2022-02-02 19:30:10.462,PERNAMBUCO,PE,COM A FAMÍLIA,RECIFE,4.0,SIM,NAN,TRABALHOS COM TECIDO.,60.0,ARTESANATO TRADICIONAL,USO PESSOAL,USO PRÓPRIO,PREÇO,FREQUENTE OU ASSÍDUO,30.0,0.0,QUALIDADE.
2022-02-03 18:05:56.141,RECIFE,PE,COM A FAMÍLIA,RECIFE,4.0,SIM,NAN,TUDO,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,15.0,8.0,"GOSTA DE TUDO, PRINCIPALMENTE PEÇAS DE BORDADO,REDES"
2022-02-03 18:08:52.450,SÃO PAULO,SP,COM COMPANHEIRO (A),RIO DE JANEIRO,8.0,NÃO,PEÇAS DE VESTUÁRIO,VESTIDOS,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,30.0,0.0,"MUITO BEM FEITO, FEITO COM CAPRICHO."
2022-02-03 18:28:07.834,NATAL,RN,COM A FAMÍLIA,NATAL,20.0,SIM,NAN,XILOGRAVURA,80.0,ARTESANATO TRADICIONAL,"USO PESSOAL, DECORAÇÃO",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,10.0,3.0,ORIGINALIDADE
2022-02-03 18:28:23.163,SÃO PAULO,SP,COM A FAMÍLIA,SÃO PAULO,8.0,NAN,NAN,"DA DIVERSIDADE,ORIGINALIDADE DOS PRODUTOS",0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,20.0,,ORIGINALIDADE
2022-02-03 18:32:53.308,CABEDELO,PB,COM A FAMÍLIA,CABEDELO,1.0,SIM,NAN,INSTRUMENTOS DE MADEIRA,150.0,ARTESANATO TRADICIONAL,USO PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,40.0,40.0,CRIATIVIDADE
2022-02-03 18:35:51.708,PIAUÍ,PI,NAN,PIAUÍ,13.0,SIM,NAN,"BRINCOS,ANÉIS DE MADEIRA, FIOS,PEÇAS DE CERÂMICA",20.0,ARTESANATO TRADICIONAL,USO PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,40.0,5.0,AS CORES
2022-02-03 18:38:38.810,SÃO PAULO,SP,COM A FAMÍLIA,SÃO PAULO,6.0,SIM,NAN,NÃO,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,0.0,"AUTENTICIDADE, CARREGA A HISTORIA DO POVO."
2022-02-03 18:44:39.590,BRASÍLIA,DF,COM A FAMÍLIA,RIO DE JANEIRO,8.0,NAN,NAN,PREÇOS,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,20.0,0.0,"ORIGINALIDADE, CHAMOU MUITA ATENÇÃO ALGODÃO COLORIDO"
2022-02-03 18:46:22.822,MATO GROSSO,MT,SOZINHO,JAGUARÃO RS,18.0,SIM,NAN,"PEÇAS DE TECIDO ( PANOS DE PRATO, TOALHAS, TRILHOS)",30.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,100.0,1.0,"TUDO DE MUITO BOM GOSTO, GOSTOU DEMAIS . ACABAMENTO PERFEITO!"
2022-02-03 18:49:44.345,GUAÍRA,PR,COM A FAMÍLIA,GUIRÁ PR,7.0,NAN,NAN,"ESTRUTURA QUE CONTEMPLA TODAS OS STANDS,A COMIDA NORDESTINA",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,,0.0,CRIATIVIDADE
